PDFQ01000001.1_3	INT	+	unclassified
PDFQ01000002.1_1	GAG_AP_RT_RNaseH_INT_galadriel	+	gypsy
PDFQ01000002.1_4	AP_RT_RNaseH_INT_galadriel	-	gypsy
PDFQ01000002.1_5	galadriel_galadriel_CHR_GAG_AP_RT_RNaseH	-	unclassified
PDFQ01000002.1_6	GAG_AP_RT_RNaseH_INT_galadriel_CHR	-	gypsy
PDFQ01000002.1_2	GAG_INT	+	unclassified
PDFQ01000002.1_3	GAG_RNaseH	+	unclassified
PDFQ01000003.1_6	GAG	-	unclassified
PDFQ01000004.1_1	galadriel_RT_GAG_AP_GAGCOAT_INT_RNaseH_CHR	+	gypsy
PDFQ01000004.1_3	GAGCOAT_RNaseH_GAG_RT_AP_galadriel_galadriel	+	unclassified
PDFQ01000004.1_2	AP_GAG_GAGCOAT_galadriel_galadriel_RT_RNaseH_CHR	+	unclassified
PDFQ01000004.1_4	AP_RT_RNaseH_GAG_CHR_INT_galadriel	-	gypsy
PDFQ01000004.1_5	GAGCOAT_RT_RNaseH_INT_galadriel_AP_GAG	-	gypsy
PDFQ01000004.1_6	AP_INT_RT_GAG_GAGCOAT_galadriel_RNaseH_CHR	-	copia
PDFQ01000005.1_4	GAG_RT_AP_RNaseH_galadriel_galadriel_GAGCOAT	-	unclassified
PDFQ01000005.1_5	RT_INT_galadriel	-	gypsy
PDFQ01000005.1_6	GAG_AP_RT_RNaseH_INT_galadriel_CHR	-	gypsy
PDFQ01000005.1_1	GAG_AP_RT_INT_RNaseH_galadriel_CHR	+	gypsy
PDFQ01000005.1_2	GAG_AP_INT_RT	+	copia
PDFQ01000005.1_3	GAG	+	unclassified
PDFQ01000006.1_3	INT	+	unclassified
PDFQ01000006.1_4	GAG_GAGCOAT_AP_RT_INT_galadriel_CHR	-	gypsy
PDFQ01000006.1_5	GAG_AP_RT_RNaseH_galadriel_galadriel_CHR	-	unclassified
PDFQ01000006.1_6	GAG_GAGCOAT_AP_RT_INT_galadriel_CHR	-	gypsy
PDFQ01000006.1_1		confused	not_working
PDFQ01000007.1_1	GAG_GAGCOAT_AP_INT_VPR_RT_RNaseH	+	copia
PDFQ01000007.1_2	INT_galadriel	+	unclassified
PDFQ01000007.1_3	AP_RT_RNaseH_INT	+	gypsy
PDFQ01000007.1_4	GAG_AP_GAGCOAT_RT_RNaseH_INT_galadriel	-	gypsy
PDFQ01000007.1_5	GAG_AP_RT_RNaseH_INT_galadriel_CHR	-	gypsy
PDFQ01000007.1_6	RT	-	unclassified
PDFQ01000008.1_1		confused	not_working
PDFQ01000008.1_3		confused	not_working
PDFQ01000008.1_4	RNaseH	-	unclassified
PDFQ01000009.1_3	TAX	+	unclassified
PDFQ01000010.1_6	GAG	-	unclassified
PDFQ01000010.1_1	RNaseH_AP_INT_galadriel	+	unclassified
PDFQ01000010.1_2	GAG_AP_RT_INT_RNaseH_galadriel	+	gypsy
PDFQ01000010.1_3	GAG_RT_AP_galadriel_galadriel_CHR	+	unclassified
PDFQ01000011.1_1	AP_GAG_GAGCOAT_RT_RNaseH_galadriel_INT_CHR	+	gypsy
PDFQ01000011.1_2	GAG_RT_RNaseH_INT_galadriel_CHR	+	gypsy
PDFQ01000011.1_3	GAG_AP_RT_RNaseH_galadriel_INT_CHR	+	gypsy
PDFQ01000011.1_4	GAG_AP_RT_RNaseH_galadriel_galadriel	-	unclassified
PDFQ01000011.1_5	GAG_GAGCOAT_RT_INT_galadriel_CHR	-	gypsy
PDFQ01000011.1_6	GAG_GAGCOAT_AP_RT_galadriel_galadriel_RNaseH_CHR	-	unclassified
PDFQ01000012.1_4	AP_RT_RNaseH_INT	-	gypsy
PDFQ01000012.1_5	GAG_GAGCOAT_AP_RT_RNaseH_INT_galadriel_CHR	-	gypsy
PDFQ01000012.1_6	INT	-	unclassified
PDFQ01000014.1_1	GAG_AP_RT_RNaseH_INT_galadriel_ENV	+	gypsy
PDFQ01000014.1_2	GAG_AP_INT_RT_RNaseH_ENV	+	copia
PDFQ01000014.1_3	GAG_RT_INT_galadriel_ENV	+	gypsy
PDFQ01000014.1_4	AP_RT	-	unclassified
PDFQ01000014.1_5	RNaseH	-	unclassified
PDFQ01000014.1_6	AP	-	unclassified
PDFQ01000015.1_4	GAG_INT_AP_RT_RNaseH	-	copia
PDFQ01000015.1_5	GAG_AP_RT_INT	-	gypsy
PDFQ01000015.1_6	GAG_GAGCOAT_AP_INT_galadriel_RT_RNaseH	-	copia
PDFQ01000015.1_1	GAG	+	unclassified
PDFQ01000015.1_2	GAG_INT	+	unclassified
PDFQ01000015.1_3	GAG_INT	+	unclassified
PDFQ01000016.1_4	RT_INT_GAG_GAGCOAT_AP_RNaseH	-	gypsy
PDFQ01000016.1_5	GAGCOAT_GAG_AP_RT_CHR_RNaseH_INT_galadriel	-	gypsy
PDFQ01000016.1_6	GAG_AP_RNaseH_RT_INT_galadriel_CHR	-	gypsy
PDFQ01000016.1_1	GAG_RT_GAGCOAT_RNaseH_INT_galadriel_AP	+	gypsy
PDFQ01000016.1_2	GAGCOAT_GAG_RT_AP_RNaseH_CHR_INT_galadriel	+	gypsy
PDFQ01000016.1_3	AP_RT_GAG_RNaseH_galadriel_galadriel_CHR	+	unclassified
PDFQ01000019.1_1	GAG_AP_RNaseH_INT_RT_galadriel	+	copia
PDFQ01000019.1_2	GAG_AP_INT_RT_RNaseH_GAGCOAT_galadriel	+	copia
PDFQ01000019.1_3	GAGCOAT_GAG_AP_INT_RT_galadriel_CHR_RNaseH	+	copia
PDFQ01000019.1_4	GAG_ORFX_RT_AP_INT_RNaseH	-	gypsy
PDFQ01000019.1_5	GAG_RT_RNaseH_AP_GAGCOAT_INT_galadriel_CHR	-	gypsy
PDFQ01000019.1_6	GAG_RT_AP_INT_RNaseH	-	gypsy
PDFQ01000021.1_5	GAG_GAGCOAT_AP_INT_RT_RNaseH_ENV_galadriel_CHR	-	copia
PDFQ01000021.1_6	GAGCOAT_GAG_AP_INT_RT_galadriel_RNaseH_CHR	-	copia
PDFQ01000021.1_4	GAG_GAGCOAT_AP_INT_RT_RNaseH_galadriel_CHR	-	copia
PDFQ01000021.1_3	GAG_RT_RNaseH_AP_INT_galadriel_GAGCOAT_CHR_ENV	+	gypsy
PDFQ01000021.1_1	GAGCOAT_GAG_AP_RT_RNaseH_INT_galadriel_CHR	+	gypsy
PDFQ01000021.1_2	GAGCOAT_GAG_AP_RT_INT_galadriel_RNaseH_CHR_ENV	+	gypsy
PDFQ01000022.1_4	GAGCOAT_GAG_AP_RT_RNaseH_INT_galadriel	-	gypsy
PDFQ01000022.1_5	GAGCOAT_GAG_AP_RT_RNaseH_galadriel_INT	-	gypsy
PDFQ01000022.1_6	GAG_GAGCOAT_AP_RT_RNaseH_INT_galadriel_CHR	-	gypsy
PDFQ01000022.1_3	GAG_GAGCOAT_AP_INT_RT_RNaseH	+	copia
PDFQ01000022.1_1	AP_RT_RNaseH_INT_galadriel_CHR	+	gypsy
PDFQ01000022.1_2	GAGCOAT_AP_GAG_INT_RT_RNaseH	+	copia
PDFQ01000023.1_4	GAG_AP_INT_MOV_GAGCOAT	-	unclassified
PDFQ01000023.1_5	GAGCOAT_GAG	-	unclassified
PDFQ01000023.1_6	INT_RT_RNaseH_GAG_GAGCOAT	-	copia
PDFQ01000023.1_1	GAG_GAGCOAT_AP_INT_RNaseH_RT_galadriel	+	copia
PDFQ01000023.1_2	GAG_AP_INT_RT_galadriel_RNaseH_CHR	+	copia
PDFQ01000023.1_3	GAG_RNaseH_INT_galadriel	+	unclassified
PDFQ01000025.1_1	GAG_AP_GAGCOAT_RT_RNaseH_INT_galadriel_ENV_CHR	+	gypsy
PDFQ01000025.1_2	GAGCOAT_AP_GAG_RT_RNaseH_INT_galadriel_CHR_ENV	+	gypsy
PDFQ01000025.1_3	GAG_GAGCOAT_RT_AP_RNaseH_INT_galadriel_ENV	+	gypsy
PDFQ01000025.1_4	GAG_GAGCOAT_AP_INT_RNaseH_galadriel_RT	-	copia
PDFQ01000025.1_5	INT_RT_RNaseH_CHR_GAG_galadriel	-	copia
PDFQ01000025.1_6	RT_GAG_GAGCOAT_AP_RNaseH_INT	-	gypsy
PDFQ01000026.1_4	GAG_GAGCOAT_AP_INT_RT_RNaseH_galadriel_CHR	-	copia
PDFQ01000026.1_5	INT_RT_GAG_RNaseH_GAGCOAT_galadriel_AP_CHR	-	copia
PDFQ01000026.1_6	ENV_GAG_GAGCOAT_RNaseH_RT_AP_INT_CHR_galadriel	-	gypsy
PDFQ01000026.1_1	GAG_AP_RT_RNaseH_INT_galadriel	+	gypsy
PDFQ01000026.1_2	GAG_GAGCOAT_AP_INT_RT_RNaseH_galadriel	+	copia
PDFQ01000026.1_3	GAG_RT_RT_AP_INT_galadriel_CHR_GAGCOAT	+	gypsy
PDFQ01000028.1_4	GAG_INT_AP_RNaseH_RT	-	copia
PDFQ01000028.1_5	GAGCOAT_AP_GAG_galadriel_INT_RT_RNaseH	-	copia
PDFQ01000028.1_6	RT_RNaseH_GAG_GAGCOAT_AP_INT_galadriel_CHR	-	gypsy
PDFQ01000028.1_3	GAG_AP_INT_RT_RNaseH_galadriel_CHR_REV	+	copia
PDFQ01000028.1_1	GAG_AP_INT_RT_RNaseH_galadriel	+	copia
PDFQ01000028.1_2	GAG_INT_GAGCOAT_AP_RNaseH_RT	+	copia
PDFQ01000030.1_1	GAG_RT_AP_RNaseH	+	unclassified
PDFQ01000030.1_2	AP_INT_RT_RNaseH_galadriel	+	copia
PDFQ01000030.1_3	GAG_GAGCOAT_INT	+	unclassified
PDFQ01000030.1_5	GAG_GAGCOAT_AP	-	unclassified
PDFQ01000030.1_6	INT_RT_RNaseH	-	copia
PDFQ01000031.1_1	GAG_AP_RT_RNaseH_INT_CHR	+	gypsy
PDFQ01000031.1_2	GAGCOAT_GAG_AP_RT_RNaseH_INT_galadriel_CHR	+	gypsy
PDFQ01000031.1_3	GAG_GAGCOAT_AP_RT_RNaseH_galadriel_galadriel	+	unclassified
PDFQ01000031.1_6	INT	-	unclassified
PDFQ01000033.1_4	GAG_RNaseH_AP_RT_galadriel_galadriel	-	unclassified
PDFQ01000033.1_5	GAG_GAGCOAT_AP_RT_RNaseH_INT_galadriel_CHR	-	gypsy
PDFQ01000033.1_6	AP_GAG_RT_RNaseH_INT_galadriel_CHR	-	gypsy
PDFQ01000033.1_1	GAG_AP_RT	+	unclassified
PDFQ01000033.1_2	GAG_AP_INT_RT_RNaseH	+	copia
PDFQ01000033.1_3	GAG_RNaseH_INT_galadriel	+	unclassified
PDFQ01000035.1_4	INT	-	unclassified
PDFQ01000036.1_1		confused	not_working
PDFQ01000037.1_4	GAG_GAGCOAT_AP_RT_RNaseH_INT_galadriel_CHR	-	gypsy
PDFQ01000037.1_5	galadriel_galadriel_GAG_CHR_AP_RNaseH_RT	-	unclassified
PDFQ01000037.1_6	GAGCOAT_GAGCOAT_AP_RNaseH_CHR_RT_galadriel_galadriel	-	unclassified
PDFQ01000037.1_1	GAG_RT_RNaseH	+	unclassified
PDFQ01000037.1_2	GAG_INT_RT_RNaseH	+	copia
PDFQ01000037.1_3	GAG_GAGCOAT_AP_INT_RT_galadriel	+	copia
PDFQ01000039.1_5	RNaseH	-	unclassified
PDFQ01000042.1_2	GAG_galadriel_INT_RT_AP_RNaseH_CHR	+	copia
PDFQ01000042.1_4	AP_CHR_GAG_RT_RNaseH_INT_galadriel	-	gypsy
PDFQ01000042.1_5	GAG_AP_RT_RNaseH_INT_galadriel_CHR	-	gypsy
PDFQ01000042.1_6	GAGCOAT_AP_GAG_RT_RNaseH_INT_galadriel_CHR	-	gypsy
PDFQ01000042.1_3	RT_galadriel_RNaseH_GAG_INT_AP	+	gypsy
PDFQ01000042.1_1	AP_GAG_INT_galadriel_RT_RNaseH_GAGCOAT_CHR	+	copia
PDFQ01000043.1_4	GAG_GAGCOAT_INT_AP_RT_RNaseH	-	copia
PDFQ01000043.1_5	GAG_RT_INT_RNaseH	-	gypsy
PDFQ01000043.1_6	GAG_INT_RT_RNaseH_AP	-	copia
PDFQ01000043.1_1	GAG_AP_INT_RT_galadriel_RNaseH_ENV_CHR	+	copia
PDFQ01000043.1_2	GAG_GAGCOAT_AP_INT_RNaseH_RT_ENV_galadriel	+	copia
PDFQ01000043.1_3	GAG_AP_GAGCOAT_INT_RT_galadriel_RNaseH_CHR_ENV	+	copia
PDFQ01000044.1_1	GAG_RT_RNaseH_galadriel_galadriel_GAGCOAT_AP_CHR	+	unclassified
PDFQ01000044.1_2	GAG_AP_RT_RNaseH_INT_CHR_galadriel_GAGCOAT	+	gypsy
PDFQ01000044.1_3	GAG_RT_RNaseH_INT_galadriel_GAGCOAT_CHR	+	gypsy
PDFQ01000044.1_4	GAG_GAGCOAT_AP_RT_RNaseH_galadriel_galadriel_CHR	-	unclassified
PDFQ01000044.1_5	GAGCOAT_GAG_AP_RT_RNaseH_galadriel_INT	-	gypsy
PDFQ01000044.1_6	INT_galadriel_CHR	-	unclassified
PDFQ01000046.1_1	GAG_RT_RNaseH_galadriel_galadriel_CHR_AP	+	unclassified
